排名,财富 (人民币),姓名,地区,年龄,关联企业,主营行业,行业大类
94,320 亿,冯海良,浙江,59,海亮,铜加工、投资,制造业
96,315 亿,陈发树,福建,58,新华都,医药、零售、投资,制造业
96,315 亿,王传福,安徽,53,比亚迪,汽车、充电电池,制造业
98,310 亿,李文斌家族,云南,44,俊发,房地产,房地产
98,310 亿,赵涛家族,陕西,53,步长,医药,制造业
100,300 亿,陈金霞,上海,51,涌金投资,医药、投资,制造业
100,300 亿,杜厦家族,天津,72,太平洋联盟,投资、高尔夫,金融
100,300 亿,黄楚龙,广东,60,星河,房地产、投资,房地产
100,300 亿,朱鼎健家族,广东,45,观澜湖,房地产,房地产
100,300 亿,李革、赵宁夫妇,北京,52、/,药明康德,医药,制造业
100,300 亿,缪寿良,广东,64,富源,房地产、水电、新能源,房地产
100,300 亿,沈南鹏,浙江,52,红杉,投资,金融
100,300 亿,宋作文家族,山东,72,南山,铝业、纺织、房地产,制造业
100,300 亿,孙广信,新疆,57,广汇,汽车销售、能源、房地产,销售业
100,300 亿,王清涛,山东,57,中融新大,煤焦,制造业
100,300 亿,詹克团,福建,40,比特大陆,芯片、矿机,制造业
100,300 亿,张刚家族,山东,38,信发铝电,电解铝、氧化铝,制造业
112,295 亿,朱孟依家族,广东,60,合生创展,房地产、投资,房地产
113,290 亿,胡凯军,安徽,57,远大,医药,制造业
113,290 亿,于泳,河南,/,鸿商产业,钼矿,制造业
115,280 亿,黄如论家族,福建,68,世纪金源,房地产,房地产
115,280 亿,王振华、王晓松父子,江苏,57、32,新城,房地产,房地产
117,275 亿,曾芳勤,广东,54,领益智造,消费电子精密件,制造业
118,265 亿,王来春,广东,52,立讯精密,电脑连接线,制造业
118,265 亿,王来胜,广东,55,立讯精密,电脑连接线,制造业
120,260 亿,陈华、陈家荣父子,广东,53、/,京基,房地产,房地产
120,260 亿,缪汉根、朱红梅夫妇,江苏,54、56,盛虹,印染、化纤、房地产,房地产
120,260 亿,沈文荣,江苏,73,沙钢,钢铁,制造业
123,255 亿,高德康、梅冬夫妇,江苏,67、51,波司登,服装,制造业
124,250 亿,耿建明、杨小青夫妇,江苏,57、/,荣盛,房地产,房地产
124,250 亿,何小鹏,广西,42,小鹏汽车,电动汽车,制造业
124,250 亿,林印孙,江西,55,正邦,饲料、养殖,农牧业
124,250 亿,肖建华家族,山东,48,明天,金融、投资,金融
124,250 亿,张志祥,浙江,52,建龙,钢铁、矿业、船运,制造业
124,250 亿,赵伟国,新疆,52,健坤投资,投资,金融
130,245 亿,钭正刚、尉雪凤夫妇,浙江,66、/,锦江,能源、化工,制造业
130,245 亿,杜伟民,江西,56,康泰生物,生物制品,制造业
130,245 亿,林中家族,江苏,51,旭辉,房地产,房地产
133,240 亿,李锂、李坦夫妇,四川,55、55,海普瑞,医药,制造业
