地区名,年份,制造业,房地产,互联网,金融,服务业,销售业,农牧业,教育,运输业
黑龙江,2018,0,0,0,0,0,0,0,0,0
内蒙古,2018,0,0,0,0,0,0,0,0,0
广东,2019,6,3,3,5,0,0,0,0,0
浙江,2019,7,0,3,2,0,1,0,0,1
河南,2019,1,1,0,0,0,0,1,0,0
江苏,2019,7,2,0,0,0,1,0,1,0
四川,2019,3,3,0,0,1,0,0,0,0
上海,2019,1,0,0,1,0,0,0,0,2
安徽,2019,3,0,0,2,0,1,0,0,0
福建,2019,5,2,1,0,1,0,0,0,0
重庆,2019,0,1,0,0,0,0,0,0,0
山东,2019,3,0,1,1,0,0,0,0,0
湖北,2019,0,0,2,0,1,0,0,0,0
山西,2019,0,1,1,0,0,0,0,0,0
河北,2019,3,1,0,0,0,0,0,0,0
吉林,2019,0,0,0,0,0,0,0,1,0
宁夏,2019,1,0,0,0,0,0,0,0,0
云南,2019,0,1,0,0,1,0,0,0,0
湖南,2019,2,1,0,0,1,0,0,0,0
北京,2019,0,1,0,0,0,0,0,0,0
广西,2019,0,0,0,0,1,0,0,0,0
辽宁,2019,2,0,0,0,0,0,0,0,0
江西,2019,0,0,1,0,0,0,0,0,0
陕西,2019,1,0,0,0,0,0,0,0,0
天津,2019,0,0,0,0,0,0,0,0,0
新疆,2019,0,0,0,0,0,0,0,0,0
甘肃,2019,0,0,0,0,0,0,0,0,0
贵州,2019,0,0,0,0,0,0,0,0,0
黑龙江,2019,0,0,0,0,0,0,0,0,0
内蒙古,2019,0,0,0,0,0,0,0,0,0
